source,added,keep,name,search_ddg_tmp,party,gender,dep17,mandates,twitter,description,city,dept,geo,notes,notes_url,flag_collected_31_may_2019,EM_zone,EM_career,id,statuses,followers,created,last_tweeted
Twitter,2016-12,yes,Jordan BARDELLA,,FN,m,,,j_bardella,"Conseiller regional d'Ile-de-France, Secretaire departemental du FN 93, President de Banlieues Patriotes, equipe #Marine2017 (pole Mobilisation Militante)",,,n,,,TRUE,,,1499400284,8739,6661,2013,22/12/2016
Twitter,2016-12,yes,Joffrey BOLLEE,,FN,m,,,jbollee,Directeur de cabinet de @f_philippot. Conseiller regional d'Ile-de-France. Elu au Comite Central du Front National. La France pour seul combat.,,,n,,,TRUE,,,612451912,5972,4677,2012,21/12/2016
Twitter,2016-12,yes,Olga JOHNSON,,UDI,f,,,olga_johnson,Presidente du @PartiRadical Paris - Cons. de Paris du 17e - membre fondateur & Sec. nat. UDI - SGA Parti Radical - Directrice generale d'Energies pour l'Afrique,paris,paris,y,,,TRUE,,,289017474,4790,2401,2011,19/12/2016
Twitter,2016-12,yes,Michel GUINIOT,,FN,m,,,michelguiniot,President du groupe FN au Conseil regional de Picardie. Conseiller departemental de l'Oise,,,n,,,TRUE,,,106782026,530,1596,2010,04/12/2016
Twitter,2016-12,yes,Eric DOMARD,https://duckduckgo.com/?q=Eric+DOMARD+twitter,FN,m,,,ericdomard,conseiller special de Marine Le Pen - membre du Bureau Politique du FN -laic intransigeant- la Republique pour seule religion- Mes tweets n'engagent que moi,,,n,,,FALSE,,,1179023089,5592,2669,2013,20/12/2016
Twitter,2016-12,yes,Jean-Luc DUMESNIL,,EELV,m,,,dumesnil_jl,Co-Secretaire Regional d'Europe Ecologie Les Verts en Ile-de-France #EELV,,,n,,,TRUE,,,2273280661,15041,1058,2014,22/12/2016
Twitter,2016-12,yes,Sylvie RAMOND,,LR,f,,,sylvie_ramond,"Adjoint au Maire de Levallois, Conseiller territorial Paris Ouest La Defense, Les Republicains.",levallois perret,hauts de seine,y,,,TRUE,,,218144431,8584,2076,2010,20/12/2016
Twitter,2016-12,yes,Sarah VIDAL,,PS,f,,,sarah_vidal12,Cabinet de @RoyalSegolene - Relations avec le Parlement - Adjointe au Maire a la culture de #Rodez - Conseillere departementale de l'#Aveyron - PS 12 - CN PS,,,n,,,TRUE,,,809005849,2433,1434,2012,17/12/2016
Twitter,2016-12,yes,Gabriel ATTAL,,PS,m,,,gabrielattal,Conseiller de Marisol Touraine | Elu municipal a Vanves (92) | Membre du conseil national du Parti socialiste,,,n,,,TRUE,,,379718466,1400,2816,2011,23/12/2016
Twitter,2016-12,yes,Gilles PLATRET,,LR,m,,,gillesplatret,"Maire de Chalon-sur-Saone, President Republicains 71, CoPresident du groupe Laicite de l'AMF, Secretaire national Les Republicains, soutien de @FrancoisFillon",,,n,,,TRUE,,,710479254,1805,3542,2012,21/12/2016
